Kanji,Grade_1989,Order_1989
一,1,1
右,1,2
雨,1,3
円,1,4
王,1,5
音,1,6
下,1,7
火,1,8
花,1,9
貝,1,10
学,1,11
気,1,12
九,1,13
休,1,14
玉,1,15
金,1,16
空,1,17
月,1,18
犬,1,19
見,1,20
五,1,21
口,1,22
校,1,23
左,1,24
三,1,25
山,1,26
子,1,27
四,1,28
糸,1,29
字,1,30
耳,1,31
七,1,32
車,1,33
手,1,34
十,1,35
出,1,36
女,1,37
小,1,38
上,1,39
森,1,40
人,1,41
水,1,42
正,1,43
生,1,44
青,1,45
夕,1,46
石,1,47
赤,1,48
千,1,49
川,1,50
先,1,51
早,1,52
草,1,53
足,1,54
村,1,55
大,1,56
男,1,57
竹,1,58
中,1,59
虫,1,60
町,1,61
天,1,62
田,1,63
土,1,64
二,1,65
日,1,66
入,1,67
年,1,68
白,1,69
八,1,70
百,1,71
文,1,72
木,1,73
本,1,74
名,1,75
目,1,76
立,1,77
力,1,78
林,1,79
六,1,80
引,2,81
羽,2,82
雲,2,83
園,2,84
遠,2,85
何,2,86
科,2,87
夏,2,88
家,2,89
歌,2,90
画,2,91
回,2,92
会,2,93
海,2,94
絵,2,95
外,2,96
角,2,97
楽,2,98
活,2,99
間,2,100
丸,2,101
岩,2,102
顔,2,103
汽,2,104
記,2,105
帰,2,106
弓,2,107
牛,2,108
魚,2,109
京,2,110
強,2,111
教,2,112
近,2,113
兄,2,114
形,2,115
計,2,116
元,2,117
言,2,118
原,2,119
戸,2,120
古,2,121
午,2,122
後,2,123
語,2,124
工,2,125
公,2,126
広,2,127
交,2,128
光,2,129
考,2,130
行,2,131
高,2,132
黄,2,133
合,2,134
谷,2,135
国,2,136
黒,2,137
今,2,138
才,2,139
細,2,140
作,2,141
算,2,142
止,2,143
市,2,144
矢,2,145
姉,2,146
思,2,147
紙,2,148
寺,2,149
自,2,150
時,2,151
室,2,152
社,2,153
弱,2,154
首,2,155
秋,2,156
週,2,157
春,2,158
書,2,159
少,2,160
場,2,161
色,2,162
食,2,163
心,2,164
新,2,165
親,2,166
図,2,167
数,2,168
西,2,169
声,2,170
星,2,171
晴,2,172
切,2,173
雪,2,174
船,2,175
線,2,176
前,2,177
組,2,178
走,2,179
多,2,180
太,2,181
体,2,182
台,2,183
地,2,184
池,2,185
知,2,186
茶,2,187
昼,2,188
長,2,189
鳥,2,190
朝,2,191
直,2,192
通,2,193
弟,2,194
店,2,195
点,2,196
電,2,197
刀,2,198
冬,2,199
当,2,200
東,2,201
答,2,202
頭,2,203
同,2,204
道,2,205
読,2,206
内,2,207
南,2,208
肉,2,209
馬,2,210
売,2,211
買,2,212
麦,2,213
半,2,214
番,2,215
父,2,216
風,2,217
分,2,218
聞,2,219
米,2,220
歩,2,221
母,2,222
方,2,223
北,2,224
毎,2,225
妹,2,226
万,2,227
明,2,228
鳴,2,229
毛,2,230
門,2,231
夜,2,232
野,2,233
友,2,234
用,2,235
曜,2,236
来,2,237
里,2,238
理,2,239
話,2,240
悪,3,241
安,3,242
暗,3,243
医,3,244
委,3,245
意,3,246
育,3,247
員,3,248
院,3,249
飲,3,250
運,3,251
泳,3,252
駅,3,253
央,3,254
横,3,255
屋,3,256
温,3,257
化,3,258
荷,3,259
界,3,260
開,3,261
階,3,262
寒,3,263
感,3,264
漢,3,265
館,3,266
岸,3,267
起,3,268
期,3,269
客,3,270
究,3,271
急,3,272
級,3,273
宮,3,274
球,3,275
去,3,276
橋,3,277
業,3,278
曲,3,279
局,3,280
銀,3,281
区,3,282
苦,3,283
具,3,284
君,3,285
係,3,286
軽,3,287
血,3,288
決,3,289
研,3,290
県,3,291
庫,3,292
湖,3,293
向,3,294
幸,3,295
港,3,296
号,3,297
根,3,298
祭,3,299
皿,3,300
仕,3,301
死,3,302
使,3,303
始,3,304
指,3,305
歯,3,306
詩,3,307
次,3,308
事,3,309
持,3,310
式,3,311
実,3,312
写,3,313
者,3,314
主,3,315
守,3,316
取,3,317
酒,3,318
受,3,319
州,3,320
拾,3,321
終,3,322
習,3,323
集,3,324
住,3,325
重,3,326
宿,3,327
所,3,328
暑,3,329
助,3,330
昭,3,331
消,3,332
商,3,333
章,3,334
勝,3,335
乗,3,336
植,3,337
申,3,338
身,3,339
神,3,340
真,3,341
深,3,342
進,3,343
世,3,344
整,3,345
昔,3,346
全,3,347
相,3,348
送,3,349
想,3,350
息,3,351
速,3,352
族,3,353
他,3,354
打,3,355
対,3,356
待,3,357
代,3,358
第,3,359
題,3,360
炭,3,361
短,3,362
談,3,363
着,3,364
注,3,365
柱,3,366
丁,3,367
帳,3,368
調,3,369
追,3,370
定,3,371
庭,3,372
笛,3,373
鉄,3,374
転,3,375
都,3,376
度,3,377
投,3,378
豆,3,379
島,3,380
湯,3,381
登,3,382
等,3,383
動,3,384
童,3,385
農,3,386
波,3,387
配,3,388
倍,3,389
箱,3,390
畑,3,391
発,3,392
反,3,393
坂,3,394
板,3,395
皮,3,396
悲,3,397
美,3,398
鼻,3,399
筆,3,400
氷,3,401
表,3,402
秒,3,403
病,3,404
品,3,405
負,3,406
部,3,407
服,3,408
福,3,409
物,3,410
平,3,411
返,3,412
勉,3,413
放,3,414
味,3,415
命,3,416
面,3,417
問,3,418
役,3,419
薬,3,420
由,3,421
油,3,422
有,3,423
遊,3,424
予,3,425
羊,3,426
洋,3,427
葉,3,428
陽,3,429
様,3,430
落,3,431
流,3,432
旅,3,433
両,3,434
緑,3,435
礼,3,436
列,3,437
練,3,438
路,3,439
和,3,440
愛,4,441
案,4,442
以,4,443
衣,4,444
位,4,445
囲,4,446
